Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Terminal_Run
Taku,sockeye salmoon,Terminal Run,2025,1984,1982,2,137.7026668
,,,,1985,1983,2,213.1176536
,,,,1986,1984,2,15.16103016
,,,,1987,1985,2,530.6522335
,,,,1988,1986,2,173.8015631
,,,,1989,1987,2,192.9459714
,,,,1990,1988,2,233.3261522
,,,,1991,1989,2,97.48256882
,,,,1992,1990,2,195.4525653
,,,,1993,1991,2,162.762244
,,,,1994,1992,2,572.7466562
,,,,1995,1993,2,157.1448443
,,,,1996,1994,2,47.34204431
,,,,1997,1995,2,101.0448297
,,,,1998,1996,2,29.60763122
,,,,1999,1997,2,478.6033271
,,,,2000,1998,2,51.07654742
,,,,2001,1999,2,585.9512971
,,,,2002,2000,2,180.3278488
,,,,2003,2001,2,291.3759187
,,,,2004,2002,2,226.771584
,,,,2005,2003,2,460.1412465
,,,,2006,2004,2,315.1941201
,,,,2007,2005,2,345.5569747
,,,,2008,2006,2,399.8652535
,,,,2009,2007,2,273.9390856
,,,,2010,2008,2,403.9480106
,,,,2011,2009,2,466.7977181
,,,,2012,2010,2,280.2342651
,,,,2013,2011,2,644.2975496
,,,,2014,2012,2,298.012036
,,,,2015,2013,2,397.7255734
,,,,2016,2014,2,215.1028858
,,,,2017,2015,2,204.0377399
,,,,2018,2016,2,556.1414492
,,,,2019,2017,2,0
,,,,2020,2018,2,0
,,,,2021,2019,2,0
,,,,2022,2020,2,0
,,,,2023,2021,2,1455.019188
,,,,2024,2022,2,220.1063216
,,,,1984,1981,3,1605.008505
,,,,1985,1982,3,4984.039078
,,,,1986,1983,3,4657.456291
,,,,1987,1984,3,994.0368717
,,,,1988,1985,3,4439.646603
,,,,1989,1986,3,2599.003436
,,,,1990,1987,3,4357.841978
,,,,1991,1988,3,9615.363035
,,,,1992,1989,3,7712.752571
,,,,1993,1990,3,4960.277096
,,,,1994,1991,3,4136.835049
,,,,1995,1992,3,22311.65337
,,,,1996,1993,3,4827.592275
,,,,1997,1994,3,1845.575058
,,,,1998,1995,3,2554.421839
,,,,1999,1996,3,5027.352505
,,,,2000,1997,3,8919.5109
,,,,2001,1998,3,2984.431398
,,,,2002,1999,3,10578.98176
,,,,2003,2000,3,11096.03701
,,,,2004,2001,3,9193.562699
,,,,2005,2002,3,4356.4767
,,,,2006,2003,3,11080.87695
,,,,2007,2004,3,11050.57565
,,,,2008,2005,3,7934.266164
,,,,2009,2006,3,8920.822809
,,,,2010,2007,3,5259.988349
,,,,2011,2008,3,7495.898952
,,,,2012,2009,3,5016.714121
,,,,2013,2010,3,2695.959748
,,,,2014,2011,3,22774.53151
,,,,2015,2012,3,11074.02329
,,,,2016,2013,3,7950.924028
,,,,2017,2014,3,3692.938449
,,,,2018,2015,3,33524.17398
,,,,2019,2016,3,6797.548811
,,,,2020,2017,3,8971.405511
,,,,2021,2018,3,7866.125431
,,,,2022,2019,3,13645.95368
,,,,2023,2020,3,23762.14184
,,,,2024,2021,3,27583.36965
,,,,1984,1981,3,1235.99941
,,,,1985,1982,3,3148.423933
,,,,1986,1983,3,590.2127757
,,,,1987,1984,3,3736.967238
,,,,1988,1985,3,3375.073769
,,,,1989,1986,3,2955.120081
,,,,1990,1987,3,2135.894639
,,,,1991,1988,3,2887.161932
,,,,1992,1989,3,1976.342104
,,,,1993,1990,3,2096.658801
,,,,1994,1991,3,2928.383394
,,,,1995,1992,3,2142.371288
,,,,1996,1993,3,670.1360244
,,,,1997,1994,3,1241.926928
,,,,1998,1995,3,1877.355856
,,,,1999,1996,3,1543.011223
,,,,2000,1997,3,798.3610927
,,,,2001,1998,3,7623.417678
,,,,2002,1999,3,1639.010844
,,,,2003,2000,3,2862.010465
,,,,2004,2001,3,531.8015545
,,,,2005,2002,3,1647.722748
,,,,2006,2003,3,1449.754874
,,,,2007,2004,3,1641.040314
,,,,2008,2005,3,1834.019608
,,,,2009,2006,3,7226.768774
,,,,2010,2007,3,1894.173365
,,,,2011,2008,3,2823.35288
,,,,2012,2009,3,856.5655914
,,,,2013,2010,3,2567.782961
,,,,2014,2011,3,3492.063231
,,,,2015,2012,3,2301.056204
,,,,2016,2013,3,1563.21144
,,,,2017,2014,3,770.4315205
,,,,2018,2015,3,5.07095168
,,,,2019,2016,3,620.8258391
,,,,2020,2017,3,680.915399
,,,,2021,2018,3,579.1630635
,,,,2022,2019,3,1194.358979
,,,,2023,2020,3,9310.31199
,,,,2024,2021,3,9821.486114
,,,,1984,1980,4,12020.69187
,,,,1985,1981,4,4230.984724
,,,,1986,1982,4,12487.62289
,,,,1987,1983,4,17457.78093
,,,,1988,1984,4,8540.683515
,,,,1989,1985,4,16547.25673
,,,,1990,1986,4,15660.52981
,,,,1991,1987,4,28032.00768
,,,,1992,1988,4,35361.24771
,,,,1993,1989,4,39012.83344
,,,,1994,1990,4,23461.47024
,,,,1995,1991,4,12505.04191
,,,,1996,1992,4,93012.95675
,,,,1997,1993,4,13275.88925
,,,,1998,1994,4,2839.133083
,,,,1999,1995,4,5517.457298
,,,,2000,1996,4,25616.8788
,,,,2001,1997,4,41418.75483
,,,,2002,1998,4,5993.113974
,,,,2003,1999,4,17619.41237
,,,,2004,2000,4,32187.88099
,,,,2005,2001,4,22060.80126
,,,,2006,2002,4,11192.42885
,,,,2007,2003,4,19997.97939
,,,,2008,2004,4,27979.1517
,,,,2009,2005,4,18950.29213
,,,,2010,2006,4,23631.92361
,,,,2011,2007,4,13132.78924
,,,,2012,2008,4,24274.69605
,,,,2013,2009,4,20084.49018
,,,,2014,2010,4,10283.08597
,,,,2015,2011,4,57431.26282
,,,,2016,2012,4,27754.01904
,,,,2017,2013,4,20841.25972
,,,,2018,2014,4,10362.98139
,,,,2019,2015,4,104725.844
,,,,2020,2016,4,14289.33033
,,,,2021,2017,4,8673.468169
,,,,2022,2018,4,17175.64393
,,,,2023,2019,4,38842.08808
,,,,2024,2020,4,31250.33346
,,,,1984,1980,4,12079.08803
,,,,1985,1981,4,14592.29579
,,,,1986,1982,4,33006.21868
,,,,1987,1983,4,18743.22568
,,,,1988,1984,4,24111.63982
,,,,1989,1985,4,20561.30199
,,,,1990,1986,4,28607.0467
,,,,1991,1987,4,39713.05646
,,,,1992,1988,4,31326.82804
,,,,1993,1989,4,21407.05943
,,,,1994,1990,4,16194.72114
,,,,1995,1991,4,44987.34353
,,,,1996,1992,4,30178.97735
,,,,1997,1993,4,29297.30097
,,,,1998,1994,4,20946.08157
,,,,1999,1995,4,66258.65869
,,,,2000,1996,4,63021.6136
,,,,2001,1997,4,46603.93135
,,,,2002,1998,4,69137.32341
,,,,2003,1999,4,47098.69673
,,,,2004,2000,4,42630.01013
,,,,2005,2001,4,23204.08248
,,,,2006,2002,4,33270.57387
,,,,2007,2003,4,37445.24449
,,,,2008,2004,4,24151.77685
,,,,2009,2005,4,21866.5634
,,,,2010,2006,4,37027.64094
,,,,2011,2007,4,16453.28592
,,,,2012,2008,4,57038.87805
,,,,2013,2009,4,20380.2164
,,,,2014,2010,4,31380.61085
,,,,2015,2011,4,29483.06946
,,,,2016,2012,4,101090.7963
,,,,2017,2013,4,15383.34277
,,,,2018,2014,4,43858.21813
,,,,2019,2015,4,8058.054452
,,,,2020,2016,4,87251.32639
,,,,2021,2017,4,101260.3425
,,,,2022,2018,4,48731.23618
,,,,2023,2019,4,19828.91178
,,,,2024,2020,4,77966.4177
,,,,1984,1980,4,86.44849901
,,,,1985,1981,4,302.6852597
,,,,1986,1982,4,90.22920969
,,,,1987,1983,4,1571.300703
,,,,1988,1984,4,144.3625269
,,,,1989,1985,4,287.2505533
,,,,1990,1986,4,103.1423519
,,,,1991,1987,4,666.293516
,,,,1992,1988,4,744.2781929
,,,,1993,1989,4,446.3926948
,,,,1994,1990,4,57.48075737
,,,,1995,1991,4,47.62548956
,,,,1996,1992,4,124.661416
,,,,1997,1993,4,177.2828816
,,,,1998,1994,4,163.2435212
,,,,1999,1995,4,359.3468526
,,,,2000,1996,4,62.58416304
,,,,2001,1997,4,421.4935948
,,,,2002,1998,4,25.14972147
,,,,2003,1999,4,77.28398442
,,,,2004,2000,4,0
,,,,2005,2001,4,29.19018225
,,,,2006,2002,4,0
,,,,2007,2003,4,30.16662159
,,,,2008,2004,4,142.2634795
,,,,2009,2005,4,297.7023709
,,,,2010,2006,4,55.7800654
,,,,2011,2007,4,392.3632851
,,,,2012,2008,4,197.655471
,,,,2013,2009,4,149.9746676
,,,,2014,2010,4,453.8303451
,,,,2015,2011,4,115.6217252
,,,,2016,2012,4,103.4770955
,,,,2017,2013,4,17.99268568
,,,,2018,2014,4,0
,,,,2019,2015,4,48.64716015
,,,,2020,2016,4,264.5446628
,,,,2021,2017,4,0
,,,,2022,2018,4,223.8220368
,,,,2023,2019,4,57.93578436
,,,,2024,2020,4,0
,,,,1984,1979,5,89.17149659
,,,,1985,1980,5,306.2585768
,,,,1986,1981,5,12.51320298
,,,,1987,1982,5,178.8831351
,,,,1988,1983,5,19.7936756
,,,,1989,1984,5,44.82345161
,,,,1990,1985,5,340.1851221
,,,,1991,1986,5,178.5943058
,,,,1992,1987,5,176.934165
,,,,1993,1988,5,273.4514202
,,,,1994,1989,5,69.87866529
,,,,1995,1990,5,214.90238
,,,,1996,1991,5,218.8207095
,,,,1997,1992,5,211.0634034
,,,,1998,1993,5,78.39328177
,,,,1999,1994,5,30.12446579
,,,,2000,1995,5,23.17319536
,,,,2001,1996,5,383.8984062
,,,,2002,1997,5,618.2790356
,,,,2003,1998,5,22.41592014
,,,,2004,1999,5,116.9293076
,,,,2005,2000,5,91.85486218
,,,,2006,2001,5,178.2616172
,,,,2007,2002,5,63.81733966
,,,,2008,2003,5,114.6199541
,,,,2009,2004,5,104.2658082
,,,,2010,2005,5,140.6580538
,,,,2011,2006,5,56.58333194
,,,,2012,2007,5,96.34319013
,,,,2013,2008,5,394.3606252
,,,,2014,2009,5,153.5251021
,,,,2015,2010,5,33.44615719
,,,,2016,2011,5,427.1342142
,,,,2017,2012,5,987.7953331
,,,,2018,2013,5,713.5301344
,,,,2019,2014,5,66.42025335
,,,,2020,2015,5,681.3882857
,,,,2021,2016,5,237.0799644
,,,,2022,2017,5,131.5722633
,,,,2023,2018,5,192.7346677
,,,,2024,2019,5,89.36742243
,,,,1984,1979,5,56466.68621
,,,,1985,1980,5,51993.69855
,,,,1986,1981,5,79207.11351
,,,,1987,1982,5,63815.69619
,,,,1988,1983,5,37132.43807
,,,,1989,1984,5,95220.85038
,,,,1990,1985,5,115697.8315
,,,,1991,1986,5,113107.1583
,,,,1992,1987,5,126213.921
,,,,1993,1988,5,150211.0505
,,,,1994,1989,5,132401.1872
,,,,1995,1990,5,96835.3326
,,,,1996,1991,5,133543.1514
,,,,1997,1992,5,80108.67455
,,,,1998,1993,5,73973.01912
,,,,1999,1994,5,57939.36307
,,,,2000,1995,5,98684.73498
,,,,2001,1996,5,218953.19
,,,,2002,1997,5,116360.6943
,,,,2003,1998,5,192151.1136
,,,,2004,1999,5,78649.83656
,,,,2005,2000,5,77628.43391
,,,,2006,2001,5,106182.5652
,,,,2007,2002,5,64115.32487
,,,,2008,2003,5,94244.14209
,,,,2009,2004,5,67879.92114
,,,,2010,2005,5,47998.34991
,,,,2011,2006,5,110219.2349
,,,,2012,2007,5,50257.32689
,,,,2013,2008,5,106314.0281
,,,,2014,2009,5,29622.27731
,,,,2015,2010,5,58813.11563
,,,,2016,2011,5,67261.45861
,,,,2017,2012,5,113264.6869
,,,,2018,2013,5,30154.96673
,,,,2019,2014,5,41190.87384
,,,,2020,2015,5,13477.54019
,,,,2021,2016,5,79222.97738
,,,,2022,2017,5,105611.3487
,,,,2023,2018,5,66563.11544
,,,,2024,2019,5,41707.16511
,,,,1984,1979,5,7696.687797
,,,,1985,1980,5,7000.499492
,,,,1986,1981,5,3158.509601
,,,,1987,1982,5,2453.468479
,,,,1988,1983,5,3823.676528
,,,,1989,1984,5,3603.75052
,,,,1990,1985,5,8237.964002
,,,,1991,1986,5,6867.436479
,,,,1992,1987,5,7368.327324
,,,,1993,1988,5,8377.845248
,,,,1994,1989,5,4777.584918
,,,,1995,1990,5,8693.829462
,,,,1996,1991,5,13076.32859
,,,,1997,1992,5,9905.599319
,,,,1998,1993,5,5334.892981
,,,,1999,1994,5,10308.56418
,,,,2000,1995,5,8220.456674
,,,,2001,1996,5,5213.10546
,,,,2002,1997,5,4368.929892
,,,,2003,1998,5,2451.923157
,,,,2004,1999,5,3819.6994
,,,,2005,2000,5,2094.826873
,,,,2006,2001,5,11613.84626
,,,,2007,2002,5,3268.257358
,,,,2008,2003,5,3608.399735
,,,,2009,2004,5,1572.243094
,,,,2010,2005,5,4064.87235
,,,,2011,2006,5,3742.14211
,,,,2012,2007,5,12350.5256
,,,,2013,2008,5,1742.954816
,,,,2014,2009,5,2073.163254
,,,,2015,2010,5,3943.906442
,,,,2016,2011,5,4024.54764
,,,,2017,2012,5,10555.86922
,,,,2018,2013,5,2438.732413
,,,,2019,2014,5,879.979873
,,,,2020,2015,5,3063.597963
,,,,2021,2016,5,7169.82045
,,,,2022,2017,5,4454.291557
,,,,2023,2018,5,853.8819388
,,,,2024,2019,5,1581.381801
,,,,1984,1979,5,0
,,,,1985,1980,5,0
,,,,1986,1981,5,0
,,,,1987,1982,5,0
,,,,1988,1983,5,0
,,,,1989,1984,5,0
,,,,1990,1985,5,0
,,,,1991,1986,5,0
,,,,1992,1987,5,0
,,,,1993,1988,5,0
,,,,1994,1989,5,0
,,,,1995,1990,5,0
,,,,1996,1991,5,0
,,,,1997,1992,5,0
,,,,1998,1993,5,0
,,,,1999,1994,5,0
,,,,2000,1995,5,0
,,,,2001,1996,5,0
,,,,2002,1997,5,0
,,,,2003,1998,5,0
,,,,2004,1999,5,0
,,,,2005,2000,5,0
,,,,2006,2001,5,0
,,,,2007,2002,5,0
,,,,2008,2003,5,0
,,,,2009,2004,5,0
,,,,2010,2005,5,0
,,,,2011,2006,5,0
,,,,2012,2007,5,0
,,,,2013,2008,5,0
,,,,2014,2009,5,0
,,,,2015,2010,5,6.869538437
,,,,2016,2011,5,70.55019112
,,,,2017,2012,5,0
,,,,2018,2013,5,0
,,,,2019,2014,5,0
,,,,2020,2015,5,0
,,,,2021,2016,5,0
,,,,2022,2017,5,0
,,,,2023,2018,5,0
,,,,2024,2019,5,19.90610448
,,,,1984,1978,6,0
,,,,1985,1979,6,0
,,,,1986,1980,6,0
,,,,1987,1981,6,0
,,,,1988,1982,6,0
,,,,1989,1983,6,0
,,,,1990,1984,6,0
,,,,1991,1985,6,0
,,,,1992,1986,6,0
,,,,1993,1987,6,0
,,,,1994,1988,6,0
,,,,1995,1989,6,0
,,,,1996,1990,6,0
,,,,1997,1991,6,0
,,,,1998,1992,6,0
,,,,1999,1993,6,0
,,,,2000,1994,6,0
,,,,2001,1995,6,0
,,,,2002,1996,6,0
,,,,2003,1997,6,0
,,,,2004,1998,6,0
,,,,2005,1999,6,0
,,,,2006,2000,6,0
,,,,2007,2001,6,0
,,,,2008,2002,6,0
,,,,2009,2003,6,0
,,,,2010,2004,6,0
,,,,2011,2005,6,0
,,,,2012,2006,6,0
,,,,2013,2007,6,0
,,,,2014,2008,6,0
,,,,2015,2009,6,0
,,,,2016,2010,6,0
,,,,2017,2011,6,0
,,,,2018,2012,6,538.7296843
,,,,2019,2013,6,0
,,,,2020,2014,6,0
,,,,2021,2015,6,0
,,,,2022,2016,6,0
,,,,2023,2017,6,0
,,,,2024,2018,6,0
,,,,1984,1978,6,153.3263841
,,,,1985,1979,6,642.3499378
,,,,1986,1980,6,358.3984681
,,,,1987,1981,6,247.6451065
,,,,1988,1982,6,86.21302964
,,,,1989,1983,6,186.1936219
,,,,1990,1984,6,405.6954351
,,,,1991,1985,6,346.0850128
,,,,1992,1986,6,245.666463
,,,,1993,1987,6,479.2377643
,,,,1994,1988,6,203.9353625
,,,,1995,1989,6,330.812158
,,,,1996,1990,6,815.5946938
,,,,1997,1991,6,213.7833346
,,,,1998,1992,6,170.6825995
,,,,1999,1993,6,213.8887653
,,,,2000,1994,6,523.8584939
,,,,2001,1995,6,588.9120705
,,,,2002,1996,6,1665.391418
,,,,2003,1997,6,231.5928667
,,,,2004,1998,6,377.0314229
,,,,2005,1999,6,119.6733262
,,,,2006,2000,6,904.4387824
,,,,2007,2001,6,547.0588143
,,,,2008,2002,6,385.667512
,,,,2009,2003,6,184.1461987
,,,,2010,2004,6,316.9454102
,,,,2011,2005,6,427.1244506
,,,,2012,2006,6,802.4530475
,,,,2013,2007,6,892.7997779
,,,,2014,2008,6,448.7988741
,,,,2015,2009,6,55.79132875
,,,,2016,2010,6,279.3421128
,,,,2017,2011,6,1033.702801
,,,,2018,2012,6,999.4364016
,,,,2019,2013,6,115.0388096
,,,,2020,2014,6,149.5154828
,,,,2021,2015,6,76.08251709
,,,,2022,2016,6,295.8475368
,,,,2023,2017,6,301.6077148
,,,,2024,2018,6,210.6095597
,,,,1984,1978,6,3019.823623
,,,,1985,1979,6,4001.468512
,,,,1986,1980,6,13017.47213
,,,,1987,1981,6,5570.158023
,,,,1988,1982,6,3430.318265
,,,,1989,1983,6,7962.199937
,,,,1990,1984,6,13019.95592
,,,,1991,1985,6,14215.90471
,,,,1992,1986,6,14949.98286
,,,,1993,1987,6,13336.73374
,,,,1994,1988,6,9090.542344
,,,,1995,1989,6,8624.010016
,,,,1996,1990,6,7711.803161
,,,,1997,1991,6,16097.46862
,,,,1998,1992,6,8487.579122
,,,,1999,1993,6,3714.2747
,,,,2000,1994,6,10288.05734
,,,,2001,1995,6,7789.571588
,,,,2002,1996,6,5390.061548
,,,,2003,1997,6,5158.454049
,,,,2004,1998,6,3824.737511
,,,,2005,1999,6,2602.821114
,,,,2006,2000,6,5552.790636
,,,,2007,2001,6,7176.513245
,,,,2008,2002,6,4402.410713
,,,,2009,2003,6,6694.070774
,,,,2010,2004,6,1488.476159
,,,,2011,2005,6,7085.607998
,,,,2012,2006,6,3012.564375
,,,,2013,2007,6,11132.0146
,,,,2014,2008,6,1918.061347
,,,,2015,2009,6,2169.896996
,,,,2016,2010,6,2806.824088
,,,,2017,2011,6,6401.42034
,,,,2018,2012,6,3266.009799
,,,,2019,2013,6,3516.460576
,,,,2020,2014,6,1046.445529
,,,,2021,2015,6,1544.663737
,,,,2022,2016,6,1096.021324
,,,,2023,2017,6,3514.185945
,,,,2024,2018,6,485.9605543
,,,,1984,1978,6,0
,,,,1985,1979,6,0
,,,,1986,1980,6,0
,,,,1987,1981,6,20.66157713
,,,,1988,1982,6,50.05233487
,,,,1989,1983,6,0
,,,,1990,1984,6,0
,,,,1991,1985,6,4.178832267
,,,,1992,1986,6,0
,,,,1993,1987,6,11.2710043
,,,,1994,1988,6,0
,,,,1995,1989,6,0
,,,,1996,1990,6,78.1637898
,,,,1997,1991,6,21.84526443
,,,,1998,1992,6,6.57475907
,,,,1999,1993,6,92.34238176
,,,,2000,1994,6,116.0940909
,,,,2001,1995,6,0
,,,,2002,1996,6,0
,,,,2003,1997,6,0
,,,,2004,1998,6,0
,,,,2005,1999,6,0
,,,,2006,2000,6,21.98477068
,,,,2007,2001,6,0
,,,,2008,2002,6,0
,,,,2009,2003,6,87.2575836
,,,,2010,2004,6,0
,,,,2011,2005,6,0
,,,,2012,2006,6,1.984695918
,,,,2013,2007,6,0
,,,,2014,2008,6,13.32615694
,,,,2015,2009,6,48.26681335
,,,,2016,2010,6,0
,,,,2017,2011,6,0
,,,,2018,2012,6,0
,,,,2019,2013,6,0
,,,,2020,2014,6,0
,,,,2021,2015,6,0
,,,,2022,2016,6,0
,,,,2023,2017,6,14.39399169
,,,,2024,2018,6,0
,,,,1984,1977,7,0
,,,,1985,1978,7,0
,,,,1986,1979,7,0
,,,,1987,1980,7,0
,,,,1988,1981,7,0
,,,,1989,1982,7,0
,,,,1990,1983,7,0
,,,,1991,1984,7,0
,,,,1992,1985,7,0
,,,,1993,1986,7,0
,,,,1994,1987,7,0
,,,,1995,1988,7,0
,,,,1996,1989,7,0
,,,,1997,1990,7,0
,,,,1998,1991,7,0
,,,,1999,1992,7,9.226288695
,,,,2000,1993,7,0
,,,,2001,1994,7,0
,,,,2002,1995,7,0
,,,,2003,1996,7,0
,,,,2004,1997,7,0
,,,,2005,1998,7,0
,,,,2006,1999,7,0
,,,,2007,2000,7,0
,,,,2008,2001,7,0
,,,,2009,2002,7,0
,,,,2010,2003,7,0
,,,,2011,2004,7,0
,,,,2012,2005,7,0
,,,,2013,2006,7,0
,,,,2014,2007,7,0
,,,,2015,2008,7,0
,,,,2016,2009,7,0
,,,,2017,2010,7,0
,,,,2018,2011,7,0
,,,,2019,2012,7,0
,,,,2020,2013,7,0
,,,,2021,2014,7,0
,,,,2022,2015,7,0
,,,,2023,2016,7,0
,,,,2024,2017,7,0
,,,,1984,1977,7,0
,,,,1985,1978,7,29.88696359
,,,,1986,1979,7,0.014263922
,,,,1987,1980,7,38.62682741
,,,,1988,1981,7,15.99775352
,,,,1989,1982,7,0
,,,,1990,1983,7,15.74468968
,,,,1991,1984,7,0
,,,,1992,1985,7,38.50315183
,,,,1993,1986,7,54.42880687
,,,,1994,1987,7,0
,,,,1995,1988,7,0
,,,,1996,1989,7,0
,,,,1997,1990,7,0
,,,,1998,1991,7,0
,,,,1999,1992,7,0
,,,,2000,1993,7,0
,,,,2001,1994,7,0
,,,,2002,1995,7,0
,,,,2003,1996,7,0
,,,,2004,1997,7,0
,,,,2005,1998,7,0
,,,,2006,1999,7,0
,,,,2007,2000,7,0
,,,,2008,2001,7,0
,,,,2009,2002,7,0
,,,,2010,2003,7,0
,,,,2011,2004,7,0
,,,,2012,2005,7,81.01307353
,,,,2013,2006,7,39.5169831
,,,,2014,2007,7,26.65231389
,,,,2015,2008,7,0
,,,,2016,2009,7,0
,,,,2017,2010,7,17.99268568
,,,,2018,2011,7,74.35437034
,,,,2019,2012,7,0
,,,,2020,2013,7,8.470525024
,,,,2021,2014,7,3.864210809
,,,,2022,2015,7,0
,,,,2023,2016,7,14.51393089
,,,,2024,2017,7,0
,,,,1984,1977,7,0
,,,,1985,1978,7,0
,,,,1986,1979,7,2.877806101
,,,,1987,1980,7,0
,,,,1988,1981,7,7.2275E-05
,,,,1989,1982,7,0
,,,,1990,1983,7,30.18729234
,,,,1991,1984,7,0
,,,,1992,1985,7,0
,,,,1993,1986,7,96.14110314
,,,,1994,1987,7,0
,,,,1995,1988,7,0
,,,,1996,1989,7,0
,,,,1997,1990,7,0
,,,,1998,1991,7,59.45879824
,,,,1999,1992,7,0
,,,,2000,1993,7,51.73526159
,,,,2001,1994,7,31.81478202
,,,,2002,1995,7,0
,,,,2003,1996,7,0
,,,,2004,1997,7,0
,,,,2005,1998,7,0
,,,,2006,1999,7,0
,,,,2007,2000,7,5.125617863
,,,,2008,2001,7,0
,,,,2009,2002,7,0
,,,,2010,2003,7,0
,,,,2011,2004,7,0
,,,,2012,2005,7,28.75201464
,,,,2013,2006,7,0
,,,,2014,2007,7,45.08297873
,,,,2015,2008,7,0
,,,,2016,2009,7,0
,,,,2017,2010,7,0
,,,,2018,2011,7,34.28631281
,,,,2019,2012,7,0
,,,,2020,2013,7,0
,,,,2021,2014,7,20.86421986
,,,,2022,2015,7,0
,,,,2023,2016,7,0
,,,,2024,2017,7,0
,,,,1984,1977,7,0
,,,,1985,1978,7,0
,,,,1986,1979,7,0
,,,,1987,1980,7,0
,,,,1988,1981,7,0
,,,,1989,1982,7,0
,,,,1990,1983,7,0
,,,,1991,1984,7,0
,,,,1992,1985,7,0
,,,,1993,1986,7,0
,,,,1994,1987,7,0
,,,,1995,1988,7,0
,,,,1996,1989,7,0
,,,,1997,1990,7,19.1387603
,,,,1998,1991,7,0
,,,,1999,1992,7,0
,,,,2000,1993,7,0
,,,,2001,1994,7,0
,,,,2002,1995,7,0
,,,,2003,1996,7,0
,,,,2004,1997,7,0
,,,,2005,1998,7,0
,,,,2006,1999,7,0
,,,,2007,2000,7,0
,,,,2008,2001,7,0
,,,,2009,2002,7,0
,,,,2010,2003,7,0
,,,,2011,2004,7,0
,,,,2012,2005,7,0
,,,,2013,2006,7,0
,,,,2014,2007,7,0
,,,,2015,2008,7,0
,,,,2016,2009,7,0
,,,,2017,2010,7,0
,,,,2018,2011,7,0
,,,,2019,2012,7,0
,,,,2020,2013,7,0
,,,,2021,2014,7,0
,,,,2022,2015,7,0
,,,,2023,2016,7,0
,,,,2024,2017,7,0
